epoch,accuracy,loss
0,0.9939746,0.03681653467227656
1,0.9939746,0.03619565355430645
2,0.9939746,0.033496998759158646
3,0.9939989,0.029597237825872428
4,0.99412,0.02645863972634197
5,0.9942291,0.023869289092749477
6,0.9942653,0.021573606063144273
7,0.994338,0.01980473598592492
8,0.9945197,0.01816572161413819
9,0.99471325,0.0166870579048692
10,0.9950522,0.015415710288597399
11,0.9952579,0.014397255395610169
12,0.99566925,0.013381451450617438
13,0.9959838,0.012430415440156278
14,0.9961773,0.011724375283727086
15,0.99647975,0.010961207837973493
16,0.99669755,0.010301331132949596
17,0.99701214,0.009639257799841493
18,0.99720573,0.009056586674021849
19,0.9973752,0.008566305717831126
20,0.997472,0.008107786456751356
21,0.9976289,0.0076034522739736495
22,0.99770176,0.007161172726808722
23,0.99807686,0.006649867530040683
24,0.99811316,0.006343003712598249
25,0.9983548,0.005917500564735009
26,0.9983551,0.0056070427152694734
27,0.99851215,0.005295528191512069
28,0.998706,0.0049839359834363845
29,0.99871796,0.004655678951495652
30,0.99881464,0.0044070138571686655
31,0.99893576,0.004123431533186072
32,0.9990083,0.0038892412527808434
33,0.99906886,0.00365079523449442
34,0.99919,0.003449865459767451
35,0.9992503,0.0032594429495478847
36,0.9992624,0.0029482589790318908
37,0.99944377,0.0028740249995663986
38,0.999468,0.002599272182810655
39,0.99950427,0.0023714481596040153
40,0.9995044,0.0022882838813208387
41,0.99958885,0.0021552110184241183
42,0.9995768,0.0019732526767424806
43,0.9996615,0.0018609469390290052
44,0.9996494,0.0017047295822335564
45,0.9996978,0.001649352450409519
46,0.99974626,0.0015695893981687568
47,0.9997581,0.0014264781653238684
48,0.9996978,0.0015075249325326946
49,0.9997581,0.0014638226643161677
50,0.9997582,0.001323145546870452
51,0.99984276,0.001121282305937339
52,0.9998428,0.0010451527833578598
53,0.99985486,0.0009481151936484368
54,0.999867,0.0008621859833729981
55,0.99991536,0.0008069794168119575
56,0.99986696,0.0007609558438362805
57,0.9999033,0.000697552865540822
58,0.9998671,0.000657988586688618
59,0.99989116,0.0006524188555846034
60,0.99989116,0.000662980461925601
61,0.99991536,0.0005577871097520837
62,0.99992746,0.0004874435835517943
63,0.99993956,0.0004559659617838457
64,0.9999396,0.00038198189973028424
65,0.9999395,0.0003724187956402924
66,0.9999517,0.0003749226927765445
67,0.99993956,0.00034110042608780674
68,0.9999395,0.00030834773031850467
69,0.99995166,0.00033292706230789496
70,0.99995166,0.00027472311224969364
71,0.9999637,0.00027717070874913987
72,0.99996376,0.0002608606683792912
73,0.99996376,0.00023887698793201474
74,0.9999879,0.00022149543277860852
75,0.9999879,0.00019955390464209663
76,0.99998784,0.000195769960953613
77,0.99998784,0.00018031132760852524
78,0.99998784,0.00016059009757953165
79,0.9999879,0.00015262810175264315
80,0.99998784,0.00014122411876708367
81,0.99998784,0.0001355259030488635
82,0.9999758,0.00014219554759254964
83,0.9999879,0.00011989757988787065
84,0.9999758,0.00020194158055511
85,0.9999879,0.00011723673335117232
86,0.9999879,0.0001091071149514837
87,0.9999879,0.00010349197589084176
88,0.99998784,0.000113144290582977
89,0.9999637,0.00012618207199055354
90,0.99998784,0.00010361182355801105
91,0.99995166,0.00022151431859132587
92,0.99819714,0.005714772249708937
93,0.998173,0.005353859654378429
94,0.9991773,0.0027541144882381346
95,0.9998911,0.0004982491336047232
96,0.9999637,0.0001962134768987253
97,0.9999637,0.00015968864644342232
98,0.99998784,0.00012126317206897817
99,0.9999879,0.00011372678733403383
