epoch,accuracy,loss
0,0.9375,0.2336561835060517
1,0.9375,0.21590430724124113
2,0.93880206,0.1836366904899478
3,0.95182294,0.1479943037071886
4,0.95963544,0.11731134005822241
5,0.97265625,0.08946427371605144
6,0.9791667,0.06888750597378628
7,0.9817708,0.05553346859960584
8,0.98307294,0.04713659069602727
9,0.98567706,0.03904992151001352
10,0.9895833,0.03161105379210009
11,0.99609375,0.022347155903238065
12,0.9973958,0.015714586870065734
13,0.9973958,0.011518032699920392
14,0.9973958,0.009739832637933432
15,0.9973958,0.00809178403384673
16,0.99869794,0.006191452999397977
17,0.99869794,0.00502460086318024
18,0.99869794,0.004659776836282011
19,0.99869794,0.0043330628398810704
20,0.99869794,0.004022610361062107
21,0.99869794,0.0037506849565337084
22,0.99869794,0.003277459837590868
23,0.99869794,0.0027180259588324893
24,1.0,0.0020839607774784477
25,1.0,0.0014493660338151433
26,1.0,0.0009676212120742397
27,1.0,0.0008481555414239968
28,1.0,0.0005305858738893221
29,1.0,0.00045213955172584974
