epoch,accuracy,loss
0,0.93098956,0.26098146978377673
1,0.9817708,0.06747968762421142
2,0.9947917,0.01721404910165969
3,0.9947917,0.00995104366381557
4,1.0,0.00037591176275072097
5,1.0,3.544522004742904e-05
6,1.0,1.7704875774349205e-05
7,1.0,1.4776667567995005e-05
8,1.0,1.2335742906488534e-05
9,1.0,1.0738108548606165e-05
10,1.0,9.530857519091107e-06
11,1.0,8.52980600592653e-06
12,1.0,7.664618657162356e-06
13,1.0,6.959969381936659e-06
14,1.0,6.415617882652806e-06
15,1.0,5.847756862816429e-06
16,1.0,5.398502698576261e-06
17,1.0,5.0017204340502275e-06
18,1.0,4.640103636951072e-06
19,1.0,4.342445359665585e-06
20,1.0,4.045408990201634e-06
21,1.0,3.7957976328402885e-06
22,1.0,3.55860594662231e-06
23,1.0,3.3578166869959367e-06
24,1.0,3.1610643090503507e-06
25,1.0,2.978748631236409e-06
26,1.0,2.818708850031252e-06
27,1.0,2.6644904939458294e-06
28,1.0,2.5261057331101475e-06
29,1.0,2.3964915079795666e-06
