epoch,accuracy,loss
0,0.9375,0.23407253809273243
1,0.9375,0.2333800516401728
2,0.9375,0.2327737050751845
3,0.9375,0.2318751752997438
4,0.9375,0.22995684233804545
5,0.9375,0.22707667636374632
6,0.9375,0.22342104682077965
7,0.9375,0.21892842650413513
8,0.9375,0.21393843243519464
9,0.9375,0.20913222633923093
10,0.93880206,0.20358686226730546
11,0.9401042,0.19875088062447807
12,0.9401042,0.1938151455639551
13,0.94140625,0.18982354470063
14,0.9427083,0.18568886800979575
15,0.94401044,0.18225109879858792
16,0.94401044,0.17953546405381834
17,0.94401044,0.17615494151444486
18,0.94401044,0.17443359945900738
19,0.94401044,0.1714426016745468
20,0.94661456,0.16915697697550058
21,0.94661456,0.16674752963202386
22,0.94661456,0.16462432529078797
23,0.94661456,0.16254873399157077
24,0.9479167,0.1604467239715935
25,0.94921875,0.1587612617877312
26,0.94921875,0.15645031612560464
27,0.94921875,0.1548392723974151
28,0.94921875,0.15288972026125217
29,0.95182294,0.15111595819083354
30,0.953125,0.14984136987186503
31,0.95442706,0.1479942419391591
32,0.95442706,0.1471147062596477
33,0.9557292,0.14546290965517983
34,0.95442706,0.14403282844189866
35,0.9557292,0.14262488076443938
36,0.95442706,0.14193086576415226
37,0.9557292,0.14058929025486577
38,0.9557292,0.13970861935861953
39,0.9557292,0.13811034633545205
40,0.95703125,0.13713813725674603
41,0.95703125,0.135680731087632
42,0.95442706,0.1356015436516221
43,0.95703125,0.1341445313349444
44,0.95703125,0.1322167183922526
45,0.95703125,0.13103807616668442
46,0.9583333,0.1301937486520425
47,0.95703125,0.12894651101669297
48,0.95963544,0.1277091007323179
49,0.9583333,0.12718227366470577
